shot_id,name,dist,value,made
0021900644-666,B. Adebayo,1,2,True
0021900644-668,D. Fox,22,3,False
0021900644-670,D. Robinson,25,3,False
0021900644-672,D. Fox,7,2,False
0021900644-674,G. Dragic,11,2,False
0021900644-680,B. Hield,24,3,True
0021900644-684,J. Johnson,22,3,False
0021900644-686,B. Hield,25,3,True
0021900644-689,J. Johnson,1,2,True
0021900644-692,D. Fox,0,2,True
0021900644-694,K. Nunn,23,3,True
0021900644-696,D. Fox,8,2,False
0021900644-698,G. Dragic,24,3,False
0021900644-704,D. Robinson,25,3,False
0021900644-709,B. Hield,25,3,False
0021900644-711,G. Dragic,1,2,False
0021900644-719,D. Fox,11,2,False
0021900644-748,B. Bogdanovic,26,3,False
0021900808-659,T. Maker,4,2,False
0021900808-662,T. Ross,22,3,False
0021900808-666,M. Fultz,7,2,False
0021900808-669,R. Jackson,8,2,False
0021900808-671,E. Fournier,8,2,True
0021900808-673,L. Galloway,26,3,False
0021900808-675,N. Vucevic,16,2,False
0021900808-677,R. Jackson,16,2,True
0021900808-679,M. Fultz,9,2,True
0021900808-681,R. Jackson,5,2,False
0021900808-683,A. Gordon,14,2,False
0021900808-690,M. Morris,11,2,False
0021900808-692,C. Wood,0,2,True
0021900808-693,E. Fournier,25,3,False
0021900808-695,D. Rose,14,2,False
0021900808-697,N. Vucevic,1,2,True
0021900808-714,L. Galloway,26,3,False
0021900808-727,L. Galloway,25,3,False
0021900969-693,J. Randle,23,3,True
0021900969-695,T. Young,15,2,False
0021900969-701,J. Randle,13,2,True
0021900969-702,C. Reddish,23,3,False
0021900969-704,D. Hunter,9,2,True
0021900969-705,M. Robinson,0,2,True
0021900969-707,T. Young,25,3,False
0021900969-717,R. Barrett,25,3,True
0021900969-719,C. Reddish,25,3,False
0021900969-721,J. Randle,26,3,False
0021900969-725,M. Robinson,0,2,True
0021900969-733,J. Collins,5,2,True
0021900969-736,T. Young,30,3,False
0021900969-774,V. Carter,25,3,True
0021901288-670,M. Smart,0,2,False
0021901288-672,D. Augustin,1,2,False
0021901288-675,M. Fultz,25,3,False
0021901288-678,J. Tatum,25,3,False
0021901288-680,M. Fultz,12,2,True
0021901288-681,J. Tatum,29,3,False
0021901288-683,N. Vucevic,25,3,False
0021901288-685,M. Smart,7,2,False
0021901288-694,M. Fultz,2,2,False
0021901288-701,N. Vucevic,21,2,False
0021901288-713,J. Tatum,22,2,True
0021901288-715,T. Ross,1,2,False
0021901288-718,M. Smart,25,3,False
0021901288-720,D. Theis,0,2,True
0021901288-723,M. Fultz,0,2,True
0021901288-734,J. Tatum,27,3,False
0021901288-743,N. Vucevic,26,3,False
0021901317-666,H. Diallo,25,3,True
0021901317-671,A. Coffey,0,2,True
0021901317-672,D. Burton,0,2,False
0021901317-680,D. Bazley,26,3,True
0021901317-682,J. Noah,2,2,True
0021901317-685,H. Diallo,22,3,False
0021901317-687,P. Patterson,2,2,False
0021901317-689,T. Mann,1,2,True
0021901317-692,K. Hervey,16,2,True
0021901317-693,A. Coffey,25,3,False
0021901317-695,D. Burton,25,3,False
0021901317-697,T. Mann,27,3,True
0021901317-698,D. Bazley,25,3,False
0021901317-702,P. Patterson,22,3,True
0021901317-704,K. Hervey,27,3,False
0021901317-706,T. Mann,11,2,True
0021901317-712,D. Hall,5,2,False
0021901317-714,P. Patterson,27,3,False
0021901317-716,D. Bazley,26,3,False
0021901317-720,P. Patterson,22,3,False
0021901317-723,D. Hall,0,2,True
0021901317-731,P. Patterson,1,2,False
0021901317-733,D. Hall,25,3,True
0021901317-740,K. Hervey,28,3,False
0021901317-750,H. Diallo,5,2,True
0021901317-756,H. Diallo,34,3,False
